t_s,pm10_standard,pm25_standard,pm100_standard,pm10 env,pm25 env,pm100 env,particles 03um,particles 05um,particles 10um,particles 25um,particles 50um,particles 100um
1771026444,1,2,2,1,2,2,438,110,13,0,0,0
1771026445,1,2,2,1,2,2,438,110,13,0,0,0
1771026446,1,2,2,1,2,2,438,110,13,0,0,0
1771026447,1,2,2,1,2,2,414,100,13,0,0,0
1771026448,1,2,2,1,2,2,414,100,13,0,0,0
1771026449,1,2,2,1,2,2,414,100,13,0,0,0
1771026450,1,2,2,1,2,2,438,106,12,0,0,0
1771026451,1,2,2,1,2,2,438,106,12,0,0,0
1771026452,1,2,2,1,2,2,438,106,12,0,0,0
1771026453,1,2,2,1,2,2,438,106,11,0,0,0
1771026454,1,2,2,1,2,2,438,106,11,0,0,0
1771026455,1,2,2,1,2,2,438,106,11,0,0,0
1771026456,1,2,2,1,2,2,402,94,13,0,0,0
1771026457,1,2,2,1,2,2,402,94,13,0,0,0
1771026458,1,2,2,1,2,2,402,94,13,0,0,0
1771026459,1,2,2,1,2,2,402,100,17,0,0,0
1771026460,1,2,2,1,2,2,402,100,17,0,0,0
1771026461,1,2,2,1,2,2,402,100,17,0,0,0
1771026462,1,2,2,1,2,2,363,96,18,0,0,0
1771026463,0,1,1,0,1,1,363,96,18,0,0,0
1771026464,0,1,1,0,1,1,363,96,18,0,0,0
1771026465,0,1,1,0,1,1,363,94,13,0,0,0
1771026466,1,2,2,1,2,2,363,94,13,0,0,0
1771026467,1,2,2,1,2,2,363,94,13,0,0,0
1771026468,1,1,1,1,1,1,294,80,12,0,0,0
1771026469,1,1,1,1,1,1,294,80,12,0,0,0
1771026470,1,1,1,1,1,1,294,80,12,0,0,0
1771026471,1,2,2,1,2,2,318,88,12,1,0,0
1771026472,1,2,2,1,2,2,318,88,12,1,0,0
1771026473,1,2,2,1,2,2,318,88,12,1,0,0
1771026474,1,2,2,1,2,2,399,105,16,1,0,0
1771026475,1,2,2,1,2,2,399,105,16,1,0,0
